title,description,price,area,address,province_city,district,direction,type,bedroom,toilet,floor,law,type_estate,width,image_links,geo_code
"Bán CHDV đường Đoàn Văn Bơ, Phường 14, Quận 4 , 68m2 giá 4 tỷ 2","CHDV đường Đoàn Văn Bơ, Phường 14, Quận 4. Không quy hoạch. Thông khắp nơi: Tôn Đản, Xóm Chiếu, Nguyễn Tất Thành, Tôn Thất Thuyết. Sát vách Quận 1 - 2 - 5 - 7.

_ Diện tích: 68 m2 (4,28 m x 15,5 m). Dtsd: 181 m2.

_ Nhà 3 tầng BTCT gồm: 1 trệt, 2 lầu, 5 phòng ngủ, 5 WC, ban công. Hoàn công đủ.

_ Nội thất đầu tư xịn, 5 phòng ️ngủ đều có: bếp từ + máy hút mùi + tủ kệ bếp + sofa bed + tủ quần áo + gương soi + bàn ghế ăn + bàn sofa + kệ TV + máy lạnh + WC riêng + phòng khóa từ + sàn gỗ mới lát T5/2024. Có bàn sạc pin điện thoại không dây kiêm loa Bluetooth. Cho thuê doanh thu 32 triệu/ tháng.",4.2,68,"Đường Đoàn Văn Bơ,  Phường 14, Quận 4, Hồ Chí Minh",Hồ Chí Minh,4,,Mua Bán,5.0,5.0,3.0,Sổ hồng/ Sổ đỏ,Nhà Trong Ngõ,4,https://alonhadat.com.vn//files/properties/2024/6/30/images/014711834-4037-ban-nha-trong-hem-ho-chi-minh-gia-re.jpg,"[10.7595494, 106.7108411]"
"Căn góc 2MT đường 19 P8 Gò Vấp.DT 69,6m2 Giá:2.740 tỷ gần Mercedes Quang Trung Thuê 17Tr/T","Siêu phẩm 2 mặt tiền Gò Vấp

5.8m x 12m - Diện tích sàn: 175m2
2 mặt tiền, đường 10m, vỉa hè rộng
Oto ngủ trong nhà
1 trệt - 1 lửng - 3 lầu, nhà mới tinh

Khu phân lô cao cấp, dân trí cao
Ở, kinh doanh, mở vp đều rất tiện
Đối diện Mercedes Quang Trung đi vào, gần cv Làng Hoa, có công viên nội khu
Giá chốt 2.740 tỷ ạ.",2.74,70,"Đường số 19,  Phường 8, Quận Gò Vấp, Hồ Chí Minh",Hồ Chí Minh,Gò Vấp,,Mua Bán,4.0,4.0,3.0,Sổ hồng/ Sổ đỏ,Nhà Trong Ngõ,"5,8",https://alonhadat.com.vn//files/properties/2024/6/30/images/014712158-5439-ban-nha-trong-hem-quan-go-vap.jpg,"[10.8393253, 106.6549729]"
"Ngang khủng 7m TÔI CẦN BÁN NHÀ ĐƯỜNG TĂNG BẠT HỔ, BÌNH THẠNH.Giá 2.660 tỷ/DT 70m2.SHR","Vị trí: Tăng Bạt Hổ, Phường 11, Bình Thạnh
Diện tích: 7m x 10m
Kết cấu: 1trệt 1lầu 3pn 3wc
Đường trước nhà 6m xe hơi thoải mái
Pháp lý: Sổ hồng chính chủ, không cắm ngân hàng
Liên hệ: em Nhựt Minh để được đi Xem nhà trực tiếp",2.66,70,"Đường Tăng Bạt Hổ,  Phường 11, Quận Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,,Mua Bán,3.0,3.0,1.0,Sổ hồng/ Sổ đỏ,Nhà Trong Ngõ,7,https://alonhadat.com.vn//files/properties/2024/6/30/images/014711615-5144-ban-nha-trong-hem-ho-chi-minh.jpg,"[10.8120073, 106.6940784]"
"Giá tốt chốt ngay !!! Nhà Đoàn Thị Điểm,Phú nhuận,58m2 giá 2TỶ340tr cho thuê 13tr/tháng","👉Vị trí: hẻm 1 sẹc Đoàn Thị Điểm thông ra đường lớn Phan Xích Long
- khu vực có đầy đủ tiện ích xung quanh không thiếu thứ gì,hẻm trước nhà gần 5m xe hơi tránh nhau

* Hiện Trạng : Nhà đang cho thuê 13 triệu / tháng

🍀 Kết cấu : 1 trệt 2 lầu ,nhà được thiết kế  3 phòng ngủ,3 wc,phòng thờ,...

-Diện tích : 57,6m2 ( 4x14,4 ) hoàn công đầy đủ
-Pháp lý : sổ hồng riêng chính chủ,sang tên công chứng trong ngày

🎁Giá bán:2 tỷ 340 triệu (còn thương lượng) .Tặng hết nội thất xịn sò như hình có trong nhà",2.34,58,"Đường Đoàn Thị Điểm,  Phường 1, Quận Phú Nhuận, Hồ Chí Minh",Hồ Chí Minh,Phú Nhuận,,Mua Bán,3.0,3.0,2.0,Sổ hồng/ Sổ đỏ,Nhà Trong Ngõ,4,https://alonhadat.com.vn//files/properties/2024/6/29/images/014707318-0046-ban-nha-trong-hem-ho-chi-minh.jpg,"[10.7998104, 106.6818678]"
Định cư nước ngoài bán nhà 62m2/2.550 tỷ 2lầu+3PN đ.Nguyễn Trãi-Q5.Cho thuê cao 16tr/Tháng,"Vị trí: Nằm tại trục hẻm 1/Nguyễn Trãi Phường 14 quận 5, đường rộng 7m. Thông khắp, xe hơi chạy thoải mái.
🤩 Đang cho thuê 16 triệu/1 tháng. Khách có thể giữ hợp đồng hoặc lấy lại.
🥳 Bán kính 500m đầy đủ tiện ích như: Trường học các cấp, UBND TP, Big C, bệnh viện, chợ, ngân hàng, công viên,...
- Diện tích nhà: 4.2x15.8m (62m²).
- Giá: 2.550 tỷ
- Kết cấu nhà: 1 trệt, 2 lầu. 3 phòng ngủ, 4WC.
- Pháp lý: Sổ hồng riêng, sang tên ngay.😎😎


Liên hệ ngay để được hỗ trợ thông tin chi tiết",2.55,62,"Đường Nguyễn Trãi,  Phường 14, Quận 5, Hồ Chí Minh",Hồ Chí Minh,5,,Mua Bán,3.0,3.0,2.0,Sổ hồng/ Sổ đỏ,Nhà Trong Ngõ,"4,2",https://alonhadat.com.vn//files/properties/2024/6/12/images/014617270-3240-ban-nha-trong-hem-ho-chi-minh-gia-re.jpg,"[10.752751, 106.6528193]"
Nhà siêu phẩm ngay Nguyễn Huy Thông Quận Gò Vấp 55m2 giá 2ty350 1 trệt 2 lầu sổ hồng riêng,"Lên sóng em siêu phẩm diện tích cực kỳ ổn áp thiết kế cực đẹp ngay Gò Vấp 

Vị trí: Nguyễn Huy Thông - P. 14 - Quận Gò Vấp- HCM. Cách MT 30m, khu vực sầm uất tiện kinh doanh hoặc ở đều phù hợp
Kết cấu: 1 trệt 2 lầu công năng gồm sân để xe rộng phòng khách bếp 4 pn 4 toilet sân thượng
Đường: 6m xe hơi thoải mái.
Diện tích: Ngang 5m dài 11m.
Pháp lý: Sổ hồng riêng.
Nội thất bàn giao: Full option.",2.35,55,"Đường Nguyễn Huy Thông,  Phường 14, Quận Gò Vấp, Hồ Chí Minh",Hồ Chí Minh,Gò Vấp,,Mua Bán,4.0,4.0,2.0,Sổ hồng/ Sổ đỏ,Nhà Trong Ngõ,5,https://alonhadat.com.vn//files/properties/2024/6/30/images/014711678-0627-ban-nha-trong-hem-ho-chi-minh-chinh-chu.jpg,"[10.83592, 106.67197]"
"Nhà ngộp giá rẻ Đ. Trần Huy Liệu, Quận Phú Nhuận / 68m2 / 2 Tỷ 460 (Sổ Hồng Riêng)","Nhà bán ngộp Đ. Trần Huy Liệu, Quận Phú Nhuận / 68m2 / 2 Tỷ 460 (Sổ Hồng Riêng)
---------------------------------------
+ Vị trí : cách đường Phan Đăng Lưu 600m và đến đại học HUTECH TPHCM chỉ với 3 phút
+ Xây dựng : 1 trệt, 2 lầu, 4 phòng ngủ rộng rãi, nhà có chỗ đậu xe, ở được 5 - 7 người
+ Diện tích nhà : 68m2
+ Sổ Hồng Riêng
+ Giá bán: 2 Tỷ 460
---------------------------------------
☎️ Liên hệ gặp Duy Bắc để đi xem nhà ngay nhé !! (Cam kết không thu phí khi đi xem nhà)",2.46,68,"Đường Trần Huy Liệu,  Phường 17, Quận Phú Nhuận, Hồ Chí Minh",Hồ Chí Minh,Phú Nhuận,,Mua Bán,4.0,4.0,2.0,Sổ hồng/ Sổ đỏ,Nhà Trong Ngõ,5,https://alonhadat.com.vn//files/properties/2024/6/30/images/014711627-5427-ban-nha-trong-hem-ho-chi-minh-chinh-chu.jpg,"[10.7969339, 106.6780123]"
"CHÍNH CHỦ BỊ SIẾT NỢ BÁN CĂN NHÀ LẦU , SỔ HỒNG RIÊNG , ĐANG CHO THUÊ 9TR/ 1THÁNG","CHÍNH CHỦ BỊ SIẾT NỢ BÁN CĂN NHÀ LẦU 120M2 CHỈ 1TY3
- NHÀ CHO THUÊ 9TR/ THÁNG
- - Nhà mặt tiền đường, được xây dựng kiên cố, phía trước có công viên rộng rãi
- Tôi có 2 căn bán gấp phù hợp căn nào gọi tôi
+ căn 1 lầu 120m2 giá 1ty3
+ căn 1 lầu 200m2 giá 1ty8
- Sổ hồng riêng, Đi công chứng sang tên trong ngày, khu dân cư đông đúc tiện buôn bán, kinh doanh
-  Tiện ích : Nằm liền kề CHỢ BÌNH CHÁNH, về bình tân, quận 5 mất 20- 25’
- CÒN 1 LÔ ĐẤT DÍNH LIỀN NẰM GẦN CĂN NHÀ GIÁ 600 TRIỆU / 1 LÔ
- Nếu tài chính không đủ chỉ cần có 500tr mua được nhà còn lại hỗ trợ bà con vay ngân hàng
 Đang kẹt tiền nên không tiếp cò lái bà con mua liên hệ trực tiếp tôi",1.3,120,"Đường Đinh Đức Thiện,  Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh",Hồ Chí Minh,Bình Chánh,,Mua Bán,4.0,4.0,1.0,Sổ hồng/ Sổ đỏ,Nhà Mặt Phố,6,https://alonhadat.com.vn//files/properties/2024/6/26/images/014315298-0532-ban-nha-mat-tien-ho-chi-minh-gia-re.jpg,"[10.70326, 106.56508]"
"Bán nhà đường Nguyễn Kiệm, P.9, Quận Phú Nhuận chỉ 1 tỷ 9 nhà 41 m2 đang thuê 10 triệu","🏫  Nguyễn Kiệm, phường 09, quận Phú Nhuận
- Diện tích: 41 m2
- Kết Cấu: 1 trệt 2 lầu 3 phòng ngủ 3 nhà vệ sinh
- Giá bán: 1.9 tỷ
- Tiện ích xung quanh
- Gần chợ Gò Vấp, trường học các cấp 1,2,3 từ nhà qua Đại học công nghiệp chỉ mất 5 phút
- Khu dân trí cao, an sinh, sạch sẽ
- Nhà cách sân bay Tân Sơn nhất chỉ 5-7 phút di chuyển sang các quận trung tâm chỉ mấy từ 15 phút
Liên hệ ngay để đc hỗ trợ tư vấn",1.9,41,"Đường Nguyễn Kiệm,  Phường 9, Quận Phú Nhuận, Hồ Chí Minh",Hồ Chí Minh,Phú Nhuận,,Mua Bán,3.0,3.0,3.0,Sổ hồng/ Sổ đỏ,Nhà Trong Ngõ,4,https://alonhadat.com.vn//files/properties/2024/6/26/images/014689943-0908-ban-nha-trong-hem-quan-phu-nhuan-gia-re.jpg,"[10.8032667, 106.6789874]"
"Bán nhà đường số 20, Thủ Đức chỉ 2 tỷ 650 nhà 1 trệt 2 lầu đang cho thuê 14 tr/tháng","- Hẻm 1/ sẹc đường số 20 Hiệp Bình Chánh, TP Thủ Đức
+ Kết cấu: 1 trệt, 2lầu  sân thượng.
+ Diện tích 60m2 4x15
+ Giá Bán : 2 tỷ 650
+ Nhà 1 trệt 2 lầu
+ Nhà mới đẹp với 3PN, 3WC . 
+ Hẻm xe hơi ngủ trong nhà , thoáng mát sạch sẻ, khu dân cư an ninh sát bên trung tâm thương mại.
Liên hệ ngay để được hỗ trợ tư vấn",2.65,56,"Đường Số 20,  Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh",Hồ Chí Minh,Thủ Đức,,Mua Bán,3.0,3.0,2.0,Sổ hồng/ Sổ đỏ,Nhà Trong Ngõ,4,https://alonhadat.com.vn//files/properties/2024/6/26/images/014691018-5330-ban-nha-trong-hem-ho-chi-minh-chinh-chu.jpg,"[10.8293227, 106.7222808]"
"Giảm sâu 200 tr còn 1.9 tỷ sở hữu nhà hẻm 173 Khuông Việt, Tân Phú nhà hơn 29m2  sổ riêng","- Nhà hẻm 173 Khuông Việt, Phú Trung, Tân Phú
- Diện tích: 29.4 m2
- Nhà 1 trệt 2 lầu, 3 phòng ngủ, 2 nhà vệ sinh.
- Giá: 1 TỶ 9
- Sổ hồng riêng chính chủ.
- Nhà thiết kế hiện đại, nội thật ngoại nhập, giá thương lượng khách thiện chí.
- Hẻm trước nhà 5m ô tô ra vào thoải mái
- khu vực an ninh , tiện ích đầy đủ an sinh cực thích hợp.
Liên hệ ngay để tiện hỗ trợ tư vấn.",1.9,29,"Đường Khuông Việt,  Phường Phú Trung, Quận Tân Phú, Hồ Chí Minh",Hồ Chí Minh,Tân Phú,,Mua Bán,3.0,3.0,2.0,Sổ hồng/ Sổ đỏ,Nhà Đất Thổ Cư,4,https://alonhadat.com.vn//files/properties/2023/10/6/images/013490012-1103-ban-dat-tho-cu-dat-o-quan-tan-phu-gia-re.jpg,"[10.777084, 106.6403733]"
NHÀ MẶT TIỀN KINH DOANH - ĐANG CHO THUÊ 8 triệu / tháng - SỔ HỒNG RIÊNG - ĐƯỢC TRẢ GÓP,"Ngân hàng siết nợ nên chị Phương cần bán gấp 2 căn nhà  mới xây 99,999% Khu Vực Chợ BÌNH CHÁNH.

+ 5 x 20 ( 100m2 ) : giá 1 tỷ đồng

    5 x 16 ( 80m2 ) : giá 800 triệu .

- Chỉ cần 400 triệu là có thể mua nhà , ngân hàng hổ trợ số còn lại nếu khách thiếu tài chính .

- 2 căn nhà cách chợ Bình Chánh chỉ 500mét. Cam kết rẻ nhất khu vực .
 
- Vị trí nhà kinh doanh cực kỳ tốt, xung quanh dân cư đông đúc , nhà hàng quán ăn đầy đủ. Rất thuận tiện buôn bán , cho thuê,....

 - Đang cho thuê 8 triệu / tháng (  mặt tiền kinh doanh ) .

- Nhà thiết kế: 3 phòng ngủ , 2 nhà vệ sinh. Có sân thượng để trồng cây cảnh , phơi đồ ,….

- SỔ HỒNG RIÊNG - công chứng trong ngày ( bao sang tên )

- Bán kính 500m là: Chợ Bình Chánh , bách hoá xanh , Trường cấp 1 , 2 , 3 . Bệnh viện , nhà thuốc Long Châu,….

- Chị đang cần tiền gấp trong tuần nên khách thiện chí sẽ thương lượng được giá tốt .

Gọi em Thịnh để xem nhà ( xin cám ơn ).

Miễn tiếp cò lái tránh mất thời gian!!",0.8,100,"Đường Đinh Đức Thiện,  Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh",Hồ Chí Minh,Bình Chánh,,Mua Bán,3.0,3.0,2.0,Sổ hồng/ Sổ đỏ,Nhà Mặt Phố,5,https://alonhadat.com.vn//files/properties/2024/5/31/images/014546236-1100-ban-nha-mat-tien-ho-chi-minh-chinh-chu.jpg,"[10.70326, 106.56508]"
