title,address,price,description,type_estate,type,area,bedroom,toilet,law,direction,width,floor,image_links,geo_code,district,province_city
"Cho thuê lâu dài nhà 6 tầng, Đống Đa - Hà Nội","P. Tôn Đức Thắng, P. Hàng Bột, Q. Đống Đa, Tp. Hà Nội",23,"Cho thuê lâu dài nhà 6 tầng diện tích 55m2/sàn.Ngõ Thịnh Hào 1, Tôn Đức Thắng, Đống Đa, Hà Nội.Ngõ rộng 2 ô tô tránh, oto vào nhà. cách đường Tôn Đức Thắng 50m, gần Quốc Tử Giám,  gần chỗ để xe oto, và gần nhiều tiện ích khác.An ninh tốt, hàng xóm thân thiện.Giá thuê 23 triệu/tháng, thanh toán 6 tháng đặt cọc 1 tháng.Ngõ thông, phù hợp làm văn phòng hoặc kinh doanh. Nhà ở!.Liên hệ: 0987866294.",Nhà Đất Thổ Cư,Cho Thuê,55,8.0,4.0,"Giấy CN QSDĐ, Sổ đỏ, Sổ hồng",,,5.0,https://io.meeymedia.com/meeyland/images/2024/06/01/3107b2d9344cb3c26b244201cc2c7070exif1717208536081-1717208537113.jpg?d=1044x464,"[21.0189958, 105.8300399]",Đống Đa,Hà Nội
Studio ban công và studio tầng trệt. Ngay công viên Lê Thị Riêng,"Đ. Bành Văn Trân, P. 07, Q. Tân Bình, Tp. Hồ Chí Minh",5.01,"149 Bành Văn Trân, Phường 7 Tân Bình  Phòng cho thuê gần Đại Học Bách Khoa, Đại Học Văn Hiến, Đại Học Y Khoa Phạm Ngọc Thạch, Đại Học Kinh Tế, Đại Học HUFLIT, Hoa Sen, chợ đầu mối Tân Bình, Sân vận động Phú Thọ, công viên Lê Thị Riêng, Bệnh Viện Thống  Ngay trục đường Lý Thường Kiệt, Lạc Long Quân, Cách Mạng Tháng 8.   Thuận tiện di chuyển Quận 5, 3,10,11 ( 10-15 phút ), Quận 1 ( 20-25 Phút )   Studio ban full nội thất: 5tr0-5tr5  Phòng trống sẵn   Nội thất : máy lạnh, tủ lạnh, tủ áo, kệ bếp, giường, nệm, máy giặt.   Phí sinh hoạt, dịch vụ  - điện 4k/kwh, nước 100k/người xe máy miễn phí  - dịch vụ chung 150k một phòng ( rác, wifi, thiết bị chung … )   Gọi/zalo - Liên hệ tư vấn và đến thuê phòng  vui lòng gọi Khánh trước 30ph",Căn Hộ Chung Cư,Cho Thuê,30,1.0,1.0,,,,,https://i.meeymedia.com/syU-xjfv6A11u6UvYW5N1c3WmftBMMQr5MAS9CWwVR4/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNDUxZjFiNGJlZjc4YmI3NjljOWZlMmE0ZDZiYzUwNDVmLTI4ODQzODIwNzA4ODgxNzAyMzkuanBn.jpg,"[10.7883066, 106.6609032]",Tân Bình,Hồ Chí Minh
"Cho thuê căn hộ leagcy central 1PN+1 3,5 triệu/tháng, có Hồ Bơ","Đ. Thuận Giao 24, P. Thuận Giao, Tx. Thuận An, T. Bình Dương",3.51,"Cho thue Căn hộ mới bàn giao đẹp, nội thất đầy đủ.   - Căn 1PN+1 45m2 có thể làm 2PN giá 3,5 triệu /tháng  -Có đầy đủ tiện ích hồ bơi, công viên nội khu, gym, yoga, bóng bàn  - miễn 2 tháng phí quản lí    Liên hệ ngay e tư vấn và gửi thông tin nhé",Căn Hộ Chung Cư,Cho Thuê,45,2.0,1.0,Hợp đồng mua bán,,,,https://i.meeymedia.com/AhO9TY9FyO7atLWgsmzWiIXMEq__0tOliCq7JrmDi64/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNDcwMmQ2ODNkOTBiMjI3ZDgwODFlYTBmMWQ0N2M4MzU4LTI4ODQzODIxMjkxNjIwMzM2NjguanBn.jpg,"[15.5, 108.68333]",Thuận An,Bình Dương
Khai trương chdv mới 100% 2pn 45m2 đinh bộ lĩnh q.bình thạnh,"Đ. Đinh Bộ Lĩnh, P. 26, Q. Bình Thạnh, Tp. Hồ Chí Minh",8.01,"#CHOTHUE KHAI TRƯƠNG MỚI 100%   Địa chỉ: Đinh Bộ Lĩnh P26 Bình Thạnh    Dạng Studio cửa sổ  Dạng 2 PHÒNG NGỦ   Chính sách dịch vụ và quy định của tòa nhà:  - Toà nhà thang bộ  - Full nội thất: ( Tủ lạnh, máy lạnh, tủ đồ, kệ bếp, giường nệm)   + Điện 4k/kwh  + Phí Dịch Vụ (rác + wifi + vệ sinh chung, máy giặt) MÁY GIẶT RIÊNG  + Xe free 2 chiếc   Call / Zalo (Quý) để được hỗ trợ thuê phòng trọ đẹp giá rẻ quận bình Thạnh. Thanks!",Căn Hộ Chung Cư,Cho Thuê,45,2.0,1.0,"Giấy CN QSDĐ, Sổ đỏ, Sổ hồng",,,,https://i.meeymedia.com/-RdQ8mA9ApgwULvnqApQZTWY6h2HKTOVmvGYCBHrODk/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNDE4MDhlZDAzYzM1ZThiODc1NmJkMDEzZDVmZGQ0MGM0LTI4ODQzODQyMjgyNDQzNjE5ODkuanBn.jpg,"[10.8078298, 106.709329]",Bình Thạnh,Hồ Chí Minh
khai trương căn hộ cao cấp - ngay công viên gia định,"Đ. Nguyễn Kiệm, P. 10, Q. Phú Nhuận, Tp. Hồ Chí Minh",9.5,Full nội thất như hình 100%     Thang máy - hầm xe - bảo vệ 24/24     Cửa khoá vân tay - giờ giấc tự do     Khu an ninh - yên tĩnh - tiện di chuyển   ⓿➑➐➐.➊➍➍.➋➋➐    𝒉𝒐̂̃ 𝒕𝒓𝒐̛̣ 𝒕𝒊̀𝒎 𝒑𝒉𝒐̀𝒏𝒈 𝒎𝒐̣𝒊 𝒑𝒉𝒂̂𝒏 𝒌𝒉𝒖́𝒄,Căn Hộ Chung Cư,Cho Thuê,33,1.0,1.0,,,,,https://i.meeymedia.com/e6idjQxeQuQjFSfnhO1N5fu-YFvumTqB7mjlnl1lAiY/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNGM2MDliNmJlNWM0NjM0MTViNTE1YTgzMDQ4YzE4ZGI1LTI4ODQzODgyMjMzMzIwNTMyNzIuanBn.jpg,"[10.7994776, 106.6801643]",Phú Nhuận,Hồ Chí Minh
Cho thuê nhà nguyên căn 50m2 1 trệt 1 lầu gần cảng Cát Lái,"Q. Thủ Đức, Tp. Hồ Chí Minh",3.8,"Nhà gần chợ, trường học, bệnh viện, gần cảng Cát Lái.  Nhà còn mới, sạch sẽ  Môi trường sống an ninh",Nhà Đất Thổ Cư,Cho Thuê,25,1.0,2.0,,,,,https://i.meeymedia.com/bHOT-qPpyLs9ualZdst78TNKdevBPC9D4YkGxZ5WpBI/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNDFlMjQyMTU2ZDkxYWE3MTRkN2Q4OWZlMDdiY2EwNWQ1LTI4ODQzNjU5MzM2Mzc1Mjk4ODAuanBn.jpg,"[10.7873629, 106.7619248]",Thủ Đức,Hồ Chí Minh
"Phòng tuyệt đẹp có ban công riêng ngay Hàng Xanh, D2, D1 tiện đi q1","Đ. Xô Viết Nghệ Tĩnh, P. 24, Q. Bình Thạnh, Tp. Hồ Chí Minh",5.5,"Phòng siêu đẹp có ban công riêng hẻm xe tải tới nhà   Nằm trong toà nhà khu biệt thự an ninh, hẻm xe tai tới tận nhà, thông 2 hướng ra ngay Xô Viết Nghệ Tĩnh và D1, hướng còn lại thông ra ngay ngã 4 Đinh Bộ Lĩnh với Bạch Đằng; giúp dễ dàng đi q1 hoặc qua Thủ Đức  Lớp  +Có ban công riêng, hướng ra sân riêng của nhà  +Hẻm xe tải tới tận nhà  +Full kiếng và màn 2 lớp vải Hàn Quốc cao cấp  +Nhà vệ sinh riêng ốp đá cao cấp cực đẹp như khách sạn 5 sao  +Có máy nước nóng năng lượng mặt trời, giúp tiết kiệm điện mùa mưa này  +Giường 1m6, tủ lạnh, smart tv xem netflix và youtube  +Phòng có 2 tủ quần áo thoải mái để đồ  +2 lớp cửa ra vào nhà bằng vân tay, thuận tiện ra vào và an ninh  +Không chung chủ, giờ giấc tự đo","Nhà Trọ, Phòng Trọ",Cho Thuê,25,,,,,,,https://i.meeymedia.com/6EzDHpD71XxGIt-mIg9uvImSCPgrTBnqHlTos8PD8PY/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNDMzMDllOGNiYTUyMzMwYmM3MDZlOTMwNjhkMjUxNzVlLTI4ODQzNDI3MjkxNjM1MzI5NzYuanBn.jpg,"[10.8043203, 106.7114661]",Bình Thạnh,Hồ Chí Minh
"Cho thuê căn saigon gateway, thuê ngay căn 2pn 67m2 7tr","Đ. Xa Lộ Hà Nội, Q. Thủ Đức, Tp. Hồ Chí Minh",6.97,"ĐỪNG CHẦN CHỪ CỌC THUÊ NGAY SAIGON GATEWAY CHÍNH CHỦ CHO THUÊ GIÁ 7TR  DT 67M2  2PN 2WC có nội thất  Tiện ích nội khu:  Khu trung tâm thương mại, nơi bạn và gia đình mình thỏa sức mua sắm.  Phòng tập gym - yoga - spa mang đến một vóc dáng khỏe mạnh cân đối.  Hồ bơi cao cấp giúp bạn sẽ được ngâm mình trong làn nước mát lạnh để xua đi những mệt mỏi trong công việc.  An ninh đảm bảo  LIÊN HỆ EM HỖ TRỢ XEM NHÀ VÀ TƯ VẤN 24/7  Bàn giao 2019  Saigon Gateway  Chủ đầu tư:  Tập đoàn Đất Xanh",Căn Hộ Chung Cư,Cho Thuê,67,2.0,2.0,Hợp đồng mua bán,,,,https://i.meeymedia.com/IjSNjhF2x5ruTz9tzFZwQDCQihXt9hKYGSfe2odQxOk/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNDI2ZWY3NDE3ZDVlMDU5ZWIxMDhkNjdjOTU5NmQ1ZWRhLTI4ODQzNTc5ODQ1NzM1OTQxMTYuanBn.jpg,"[10.8136475, 106.7579485]",Thủ Đức,Hồ Chí Minh
"Cần cho thuê gấp nhà xưởng mặt tiền Tỉnh Lộ 8, Tân An Hội, Củ Chi","Đ. Tỉnh lộ 8, X. Tân An Hội, H. Củ Chi, Tp. Hồ Chí Minh",9.9,"Cần cho thuê gấp nhà xưởng mặt tiền Tỉnh Lộ 8, Tân An Hội, Củ Chi;  DT: 10 X 30 = 300m2; Hiện trạng nhà xưởng sẵn, điện Ba Fa, nước đầy đủ, vị trí đẹp, gần ngã 3 Bàu Tre, UB xã, thích hợp làm kho, xưởng, khai thác ngay…  Giá cho thuê: 10 triệu/ tháng  Thanks All !",Nhà Đất Thổ Cư,Cho Thuê,300,2.0,2.0,"Giấy CN QSDĐ, Sổ đỏ, Sổ hồng",,,,https://i.meeymedia.com/PIHA_nW7TpkHOG3DgvjSh7ItCbNZhY00K7YZqoGyA-M/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNDIwNDFjOTRlMWZmY2RiMTUxNjA0OGIwNjBiNWI4Y2RhLTI4ODQzNjc0NDk0OTc1NDExMjQuanBn.jpg,"[10.97333, 106.49325]",Củ Chi,Hồ Chí Minh
Cần cho thuê nhà vườn 3 tầng 4p ngủ khu tứ liên tây hồ,"Đ. Âu Cơ, P. Tứ Liên, Q. Tây Hồ, Tp. Hà Nội",19.95,"Cho Thuê nhà sân vườn tại Ngõ 200 Âu Cơ, Tứ Liên . DT105m sàn x 3Tầng 4 phòng ngủ, Đồ cơ bản   Giá 20tr/tháng   Nhà có.sân vườn.  Ô Tô vào nhà, kinh doanh đỉnh.   Thích hợp ở hộ gia đình, văn phòng, cửa hàng...  IB hoặc Zalo",Nhà Đất Thổ Cư,Cho Thuê,105,4.0,4.0,"Giấy CN QSDĐ, Sổ đỏ, Sổ hồng",,,3.0,https://i.meeymedia.com/7lhzb9YUlsJ1oRJK6w6plyoUWERchMDXijX9cDs5ONc/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNDQ4YjBlNzJlN2I1MzA3OTA1ZWIzNGVhMDMxYThiNjY5LTI4ODQzNjgxODkwMTkzNDMzNDYuanBn.jpg,"[21.0646509, 105.8297651]",Tây Hồ,Hà Nội
