title,price,area,address,description,type,type_estate,law,floor,bedroom,toilet,direction,image_links,phonenumber,geo_code,district,province_city,width
"Cho thuê căn hộ tầng 3, 4, 5 trong toà nhà 8 tầng phố giang văn minh",8.7,65,"Đường Giang Văn Minh, Phường Đội Cấn, Quận Ba Đình, Hà Nội","Nhà mình còn 3 căn hộ tầng 3, 4, 5 trong toà nhà 8 tầng cho thuê, riêng biệt, khép kín.<br/><br/>🏠 Địa chỉ: 2 lối ngõ vào nhà <br/>- Ngõ 61 phố Giang Văn Minh - Ba Đình.<br/>-Ngõ 154 Đội Cấn (đối diện bảo tàng B52)<br/>📍Cách Lăng Bác 500m<br/><br/>- Diện tích 65m2 gồm 1 ngủ và 1 khách + bếp tích hợp, có ban công, thang máy, đầy đủ đồ.<br/><br/>💰Giá thuê: 8.7000 vnd (tám triệu bẩy trăm nghìn vnd)<br/> -Internet :100k <br/> -nước sinh hoạt :100k<br/>(Tiền điện tính theo công tơ riêng-4k/số)<br/>🕰 Hợp đồng 1 năm trở lên.<br/>** Không nuôi chó - mèo<br/>💵 Cọc 1 tháng, trả 3 tháng/lần<br/>☎️ Thông tin liên hệ: chị Dương chính chủ:  ",Cho Thuê,Căn Hộ Chung Cư,,,1,1,,https://cloud.muaban.net/images/thumb-detail/2024/07/10/102/85aea89d6de746b3bcc5153906854854.jpg,913236393,"[21.03587, 105.82163]",Ba Đình,Hà Nội,
"Cho thuê mặt bằng tầng trệt đường số 6 khu cityland park hills, 100m2",16.0,100,"Cityland Park Hills, Đường số 6, Phường 10, Quận Gò Vấp, TP.HCM","Cho thuê mặt bằng tầng trệt đường số 6 khu Cityland Park Hills, P.10, Gò Vấp. Có hầm để xe, có thang máy.<br/>_ DT 5x20m, 100m2 full sàn . Có 2 phòng<br/>+ phía trước có sảnh rộng để bàn tiếp khách<br/>_ Công năng gồm có: Thang máy, hầm để xe, 2 toilet, 2 lối đi, phía sau có lối thoát hiểm.<br/>_ Vị trí thích hợp: KD spa, làm VP cty, nha khoa, phòng khám...<br/>Giá thuê: 16 triệu/tháng<br/>**** Liên hệ:  Thúy<br/>  Sơn",Cho Thuê,"Văn phòng, TTTM, Cửa hàng, Kiot",,,,,,https://cloud.muaban.net/images/thumb-detail/2024/07/15/279/2a381094d5d94a60bd7a5a44bbdee6c1.jpg,903101485,"[10.82302, 106.62965]",Gò Vấp,Hồ Chí Minh,
Cho thuê vp giá rẻ nhất bình thạnh,12.0,56,"110, Đường Đinh Bộ Lĩnh, Phường 26, Quận Bình Thạnh, TP.HCM","Cơ hội vàng cho doanh nghiệp: Văn phòng đẳng cấp, giá hợp lý tại trung tâm Bình Thạnh!<br/><br/>Bạn đang tìm kiếm một không gian làm việc lý tưởng cho công ty? Hãy đến ngay với chúng tôi!<br/><br/>Địa chỉ: 110 Đinh Bộ Lĩnh, phường 26, quận Bình Thạnh, TP.HCM<br/>- Vị trí đắc địa: Mặt tiền đường lớn, thuận tiện giao thông<br/>- Diện tích: 56m2/tầng, phù hợp mọi quy mô doanh nghiệp<br/>- Giá thuê cực kỳ ưu đãi: Chỉ 12 triệu đồng/tháng/tầng.<br/><br/>Tòa nhà hiện đại, thoáng mát sẽ mang đến không gian làm việc chuyên nghiệp và sáng tạo cho đội ngũ của bạn. Vị trí trung tâm giúp thuận tiện cho việc gặp gỡ đối tác và khách hàng.<br/><br/>Đừng bỏ lỡ cơ hội sở hữu văn phòng đẳng cấp với mức giá không thể hấp dẫn hơn. Số lượng có hạn, hãy liên hệ ngay để được tư vấn và đặt lịch tham quan!<br/><br/>Hotline:  <br/><br/>Hãy để chúng tôi đồng hành cùng sự phát triển của doanh nghiệp bạn!",Cho Thuê,"Văn phòng, TTTM, Cửa hàng, Kiot",,,,,,https://cloud.muaban.net/images/thumb-detail/2024/07/09/526/8ed656d9d79846cda34ea25c8d02a9cb.jpg,983414444,"[10.8078298, 106.709329]",Bình Thạnh,Hồ Chí Minh,
"Cho thuê cửa hàng phố lê duẩn, nhìn sang điện biên phủ, quận ba đình",0.123456,60,"Đường Lê Duẩn, Quận Ba Đình, Hà Nội","Cần cho thuê cửa hàng phố Lê Duẩn, nhìn sang Điện Biên Phủ, quận Ba Đình, vị trí đẹp, vỉa hè rộng, mặt tiền 7m, rộng 50m2, nhà vệ sinh riêng biệt, có thêm 1 gác lửng rộng 10m2, cửa hàng riêng biệt không chung lối đi. Liên hệ: trực tiếp, chính chủ,  ",Cho Thuê,"Văn phòng, TTTM, Cửa hàng, Kiot",,,,,,https://cloud.muaban.net/images/thumb-detail/2024/07/09/403/e8fa0cd53e0746e780720829c8f8e1c7.jpg,934188668,"[21.0282433, 105.8415359]",Ba Đình,Hà Nội,
"Chính chủ cho thuê nhà mặt phố kim đồng, phường giáp bát, hoàng mai",30.0,60,"Đường Kim Đồng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội","Cho Thuê Nhà mặt phố Kim Đồng, Phường Giáp Bát, Quận Hoàng Mai<br/>Diện tích 60 m2, mặt tiền 4,7m, 8 tầng, 13 phòng, có thang máy, cho thuê dài hạn, giá 30 triệu/tháng.<br/>Liên hệ: Dung,  , A.Hà,  ",Cho Thuê,Nhà Mặt Phố,,8.0,13,,,https://cloud.muaban.net/images/thumb-detail/2024/06/17/295/eb53ebc385384c6aaded3d62145f7983.jpg,916614768,"[20.98359, 105.841149]",Hoàng Mai,Hà Nội,
"Cho thuê nhà nguyên căn 5 tầng 1 tum, phố cổ ẩm thực lương ngọc quyến",18.0,22,"Đường Lương Ngọc Quyến, Phường Hàng Buồm, Quận Hoàn Kiếm, Hà Nội","Cho thuê nhà nguyên căn 5 tầng 1 tum, ở phố cổ ẩm thực Lương Ngọc Quyến, P.Hàng Buồm, Hà Nội, diện tích 22m2, 3WC, tiện nghi khép kín, đồ dùng đầy đủ để ở, giá 18 triệu. LH: cô Hương,  ",Cho Thuê,Nhà Mặt Phố,,,,,,https://cloud.muaban.net/images/thumb-detail/2024/07/09/388/fff199f7c3f048338056c3c84de81ead.jpg,978441958,"[21.02813, 105.85358]",Hoàn Kiếm,Hà Nội,
"Chính chủ cho thuê nhà mặt tiền 348b ung văn khiêm, bình thạnh, 5x20m",40.0,100,"348B, Đường Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, TP.HCM","Chính chủ cho thuê nguyên căn nhà mặt tiền 348B Ung Văn Khiêm, Phường 25, Quận Bình Thạnh<br/>- Diện tích: 5x20m, 1 trệt, 1 lầu<br/>- Giá 40 triệu.<br/>LH: A.Dũng :  ",Cho Thuê,Nhà Mặt Phố,,2.0,,,,https://cloud.muaban.net/images/thumb-detail/2024/06/08/253/b553225c295b444f8944e27f799d72e6.jpg,903930432,"[10.8063236, 106.720263]",Bình Thạnh,Hồ Chí Minh,5.0
"Cho thuê nhà mặt tiền đường nguyễn cửu phú, bình chánh",20.0,"163,2","Đường Nguyễn Cửu Phú, Xã Tân Kiên, Huyện Bình Chánh, TP.HCM","*•Nhà cho thuê: •A9/20C (Mặt tiền đường Nguyễn cửu Phú).Xã:Tân Kiên.Huyện:Bình Chánh.<br/>.DTSD: 5,1m X 32(Sân sau 9,7 cửa sau ra Đường:Bông văn Dĩa)=117,3m2+49,47=166,77m2<br/>.Sân đễ xe + Phòng khách + 2 Phòng ngũ(Máy lạnh)+ Bếp + Vệ sinh + Sân sau...Vừa mới xây dựng lại,rất tiện nghi và sang trọng,sạch sẽ.<br/>.Vị trí: Ngã3 (Nguyễn cửu Phú + Hưng Nhơn) Đ/D Trường Tân Kiên,gần Bệnh viện Nhi Đồng TP HCM(1.000 giường)+BV Phạm Ngọc Thạch 500 giường + Nhiều bệnh viện khác.KDC hiện hữu đông đúc.<br/>.Thuận tiện kinh doanh:<br/>Nhà thuốc + Phòng Khám + Nhà trẽ …<br/>.Giá cho thuê nguyên căn 20 triệu/Tháng.Cọc 5 tháng (Ký 1 Năm/Lần)<br/>L/H: Chú Nguyên:MB  (Miễn tiếp trung gian).<br/><br/>",Cho Thuê,Nhà Mặt Phố,,,,,,https://cloud.muaban.net/images/thumb-detail/2024/07/08/179/6e6dd599742144378f93e4976f73d5a0.jpg,933199838,"[10.7074107, 106.581652]",Bình Chánh,Hồ Chí Minh,
"Cho thuê nhà mp điện biên phủ, 4 mặt thoáng",89.0,60,"Đường Điện Biên Phủ, Phường Điện Biên, Quận Ba Đình, Hà Nội","Cho thuê nhà MP Điện Biên Phủ, 4 mặt thoáng, nhà trắng cao nhất dãy phố, mặt ngã tư Điện Biên Phủ, Lê Duẩn, Cao Bá Quát và ngã 4 Trần Phú, Điện Biên Phủ, gần tòa nhà doji tower 16 tầng.450 m2 sàn.Mặt tiền gần 8m. hè 9m. Tiện làm Chi nhánh ngân hàng, Văn phòng, Tổng Công ty, Phòng khám, Thời trang, siêu thị mi ni... có thể chia cho 2 đơn nguyên thuê. LHCC: ANH THU  <br/>Cho thuê lắp biển Quảng cáo 2 mặt nhà đầu hồi, vừa 2 mặt hồ vừa mặt ngã 6 Hào Nam, Vũ Thạnh, An Trạch, Cát Linh nhìn ra ga tàu điện Cát Linh. Giá thỏa thuận.<br/> LHCC: ANH THU  ",Cho Thuê,Nhà Mặt Phố,,,,,,https://cloud.muaban.net/images/thumb-detail/2020/03/06/215/351c0a4db29d4f1d8c0d46b579f4ac2d.jpg,334455566,"[21.0287928, 105.8429216]",Ba Đình,Hà Nội,
"Chính chủ cho thuê nhà mặt tiền kd 49d đường 18, linh trung, thủ đức",13.0,107,"49D, Đường 18, Phường Linh Trung, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Chính chủ cần cho thuê căn nhà mặt tiền kinh doanh số 49D đường số 18 khu phố 5 Phường Linh Trung Quận Thủ Đức cũ. <br/>Nhà 1 trệt 1 lầu sân thượng trên diện tích đất 107m2 thổ cư 100%. Ngang 4,52m nở hậu 4,55m sâu 23m. Diện tích xây dựng 149m2. <br/>Tầng trệt có 1 sân để xe máy xe hơi, phòng khách, phòng ngủ và bếp với 1 nhà vệ sinh. <br/>Lầu 1 có 3 phòng ngủ và 1 nhà vệ sinh riêng biệt và 1 nhà vệ sinh trong phòng ngủ.<br/>Khu vực sầm uất, đường rộng 16m cách Xa Lộ Hà Nội 100m. Khu vực gần trường đại học và khu công nghiệp bệnh viện Thủ Đức.<br/>Thích hợp kinh doanh buôn bán mở văn phòng công ty cao ốc văn phòng căn hộ dịch vụ. Vừa ở vừa kinh doanh cafe, kho xưởng cơ khí...<br/>Giá cho thuê : 13 triệu/ tháng thương lượng.<br/>Hợp tác môi giới hoa hồng thoả thuận.<br/>Liên hệ :  ",Cho Thuê,Nhà Mặt Phố,,2.0,,,,https://cloud.muaban.net/images/thumb-detail/2024/05/31/074/010ff3fba88d470aab56c92914e39bba.jpg,989170776,,Thủ Đức -  Thủ Đức,Hồ Chí Minh,4.5
