title,price,area,type,address,description,law,type_estate,province,district,bedroom,toilet,floor,direction,width,image_links,geo_code
Chính chủ cho thuê cả nhà tại 135 khâm thiên đống đa kinh doanh được,Thỏa thuận,55,Cho Thuê,"Phường Khâm Thiên, Quận Đống Đa, Hà Nội","Chính chủ cho thuê cả nhà tại 135 Khâm Thiên, Đống Đa Mặt bằng 55m2, mặt tiền 4.1m, vỉa hè rộng 4m Vị trí đắc địa, nhà mới xây 6 tầng nổi, 1 tầng hầm, có thang máy Nhà xây thông sàn, cầu thang cuối nhà, điều hòa âm trần Daikin Rất phù hợp làm văn phòng, phòng khám, ngân hàng, spa Gía thuê : Thương lượng Liên hệ chín chủ A Minh: 0963576662 0963576662 Chat Quan tâm Lưu tin",,Nhà mặt phố,Hà Nội,Đống Đa,,,,,,https://nhadat24h.net//Upload/User/DangTin/2023/Images/521495/fa8909b5-3172-4c5b-a94e-5c579a5ae99a.jpg,"[21.0192241, 105.8390581]"
Căn hộ dịch vụ giá tốt nhất q12 view đẹp gần ngay côngviên phầnmềm quang trung,6.5,25,Cho Thuê,"Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh","Xác thực chính chủ ✨ Căn Hộ Dịch Vụ Giá Tốt nhất Q12- View Đẹp – Gần ngay Công Viên Phần Mềm Quang Trung 🔥 CĂN HỘ DỊCH VỤ Ngay cạnh Bệnh Viện Quận 12 - Cầu Vượt Quang Trung – Cao Đẳng FPT - Cao Đẳng Viễn Đông- Công Viên Phần Mềm Quang Trung 🏠 Vị Trí Đắc Địa: NGAY MẶT TIỀN ĐƯỜNG TRẦN THỊ NĂM - Giá 6.5 - 12 triệu/tháng _____________________________ 🏘 Trong vòng bán kính 500m đầy đủ tiện ích: Gần trường mầm non, trường ngoại ngữ Âu Mỹ, phòng Gym, sân cầu lông, sân bóng đá, bách hóa xanh, thế giới di động 🏘 Dễ dàng di chuyển đi các quận trung tâm, vào Gò Vấp,… ______________________________ 🔥 Có thang máy, camera an ninh, bảo vệ 24/24, hầm xe rộng rãi 🔥 Thiết Kế Kính lớn sang trọng, hiện đại; cửa sổ View toàn cảnh 🔥 Có tivi, rèm, tủ lạnh, máy lạnh, giường, tủ quần áo 🔥 Hệ thống bếp hiện đại, đầy đủ đồ dùng bếp 🔥 Sân thượng có máy giặt và khu phơi đồ 🔥 Có Thang Máy Thuận tiện di chuyển.. 🔥 Thiết kế đặc biệt với 3 bộ bàn ghế sang trọng dành cho: sofa phòng khách, bộ bàn ăn có bếp từ, sofa phòng ngủ 🔥 Có dịch vụ dọn phòng 🔥🔥 Chỉ Cần Xách Vali vào ở liền 🔥🔥 ______________________________ ☎ LIÊN HỆ: 0903.647.132 ( C.Hạnh) ĐỂ XEM PHÒNG TRỰC TIẾP 0906278050 Chat Quan tâm Lưu tin",,Căn hộ chung cư,Hồ Chí Minh,12,1.0,1.0,,,,https://nhadat24h.net//Upload/User/DangTin/2024/Images/528314/0884b2ae-a747-4c7c-a632-9e4ec063289f.jpg,"[10.8678527, 106.6231544]"
Cho thuê căn b0715 chung cư imperia sky garden 423 minh khai nhà căn góc tầng 7,19,105,Cho Thuê,"Imperia Sky Garden, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Xác thực chính chủ CHO THUÊ CĂN B0715 CHUNG CƯ IMPERIA SKY GARDEN 423 MINH KHAI. NHÀ CĂN GÓC TẦNG 7. RỘNG 105M2. NHÀ 3 PHÒNG NGỦ 2 VỆ SINH! NỘI THẤT ĐỒ DÙNG ĐẦY ĐỦ! VÀO Ở LUÔN! CHO THUÊ 19 TRIỆU! LIÊN HỆ CHỦ NHÀ ( KHÔNG QUA MÔI GIỚI ) ! ☎️ 0914.281.496 0914281496 Chat Quan tâm Lưu tin,,Căn hộ chung cư,Hà Nội,Hai Bà Trưng,3.0,2.0,,,,https://nhadat24h.net//Upload/User/DangTin/2024/Images/528690/8ecbbfc3-13c5-4beb-9327-a5fb5d345bf2.jpg,"[20.9988446, 105.8665932]"
Cho thuê nhà mặt tiền nhìn phía đông nam ra hồ tây sân rộng thoáng mát,120,195,Cho Thuê,"Quảng An, Phường Quảng An, Quận Tây Hồ, Hà Nội","Xác thực chính chủ Chính chủ cần cho thuê Nhà mặt phố tại Quảng An, Quận Tây Hồ, Hà Nội. Diện tích đất xây dựng: 105(m2) trên tổng 195(m2), hướng cửa vào: Đông nam, nhà xây: 5 (Tầng), mặt tiền rộng: 13 (m), nhà được thiết kế có: sân vườn, 4 tầng 4 phòng , 2 WC, và có 1 chỗ để xe riêng Giá thuê: 120 triệu/tháng. (không thương lượng). Nhà nằm vị trí đẹp, nhìn thẳng ra hồ, vỉa hè thoáng, gần các pub và cửa hàng ăn, quán xá như Chops Tây Hồ, The Republic, Nagocha, con Heo Béo(BBQ). Ngoài ra còn có đường đi thẳng vào trong phủ Tây Hồ, vườn hoa Quảng An và còn gần Elite Finese, CGV Xuân Diệu. Phố lọt top 30 con đường thú vị nhất thế giới. https://vnexpress.net/co-gi-o-quang-an-pho-ha-noi-thu-vi-nhat-the-gioi-4729131.html 0784062792 Chat Quan tâm Lưu tin",Có Sổ đỏ,Nhà mặt phố,Hà Nội,Tây Hồ,1.0,2.0,4,Đông nam,13,https://nhadat24h.net//Upload/User/DangTin/2023/Images/521707/26bd560f-11b7-45fa-87cc-296436128479.jpg,"[21.0705937, 105.8299492]"
Cho thuê văn phòng gems empire tower 201 trường chinh nâng tầm doanh nghiệp,20,50,Cho Thuê,"Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Không gian đẳng cấp – Trung Tâm Quận Đống Đa – Thanh Xuân Tìm kiếm một văn phòng lý tưởng để khẳng định vị thế và thúc đẩy thành công cho doanh nghiệp? Gems Empire Tower 201 Trường Chinh chính là lựa chọn hoàn hảo dành cho bạn! Vị trí Gems Empire Tower 201 Trường Chinh Tọa lạc tại số 201 Trường Chinh, Thanh Xuân, Hà Nội, Gems Empire Tower sở hữu vị trí đắc địa, giao thông thuận tiện khi tiếp giáp các tuyến đường huyết mạch như Trường Chinh, Tôn Thất Tùng, Lê Văn Lương.. Dễ dàng kết nối đến các quận trung tâm như Đống Đa, Hai Bà Trưng, Cầu Giấy, chỉ cách ga tàu điện ngầm Láng Hạ 5 phút di chuyển. Tiện ích văn phòng Gems Empire Tower Trang thiết bị cao cấp, hệ thống an ninh tiên tiến, mang đến môi trường làm việc chuyên nghiệp và an toàn. Gần gũi với nhiều tiện ích như: trung tâm thương mại royal city, ngân hàng, nhà hàng, trường học, bệnh viện, đáp ứng mọi nhu cầu của doanh nghiệp và nhân viên. Dịch vụ văn phòng Gems Empire Tower Trang thiết bị cao cấp, hệ thống an ninh tiên tiến, mang đến môi trường làm việc chuyên nghiệp và an toàn. Cơ sở vật chất thường xuyên được nâng cấp. Áp dụng công nghệ 4.0 vào hệ thống vận hành tòa nhà với phần mềm quản lý chuyên nghiệp. Hệ sinh thái kinh doanh, hợp tác cùng phát triển thịnh vượng. Không gian làm việc tại Gems Empire Tower Tòa nhà văn phòng cao cấp Chứng chỉ văn phòng tiêu chuẩn xanh EDGE. Không gian văn phòng hiện đại, tiện nghi, được thiết kế khoa học, tối ưu hóa công năng. Diện tích văn phòng cho thuê tại Gems Empire Tower từ 30m² - 50 m² – 100 m² – 150 m² – 200 m² -300 m² - 1000 m² Giá thuê văn phòng Gems Empire Tower: Liên Hệ BQLDA Cho Thuê Hotline 0961669119 để đi xem văn phòng giá thuê đã bao gồm phí dịch vụ và trần sàn điều hoà âm trần vách bao quaonh, 0961669119 Chat Quan tâm Lưu tin",,"Văn phòng, TTTM, Cửa hàng, Kiot",Hà Nội,Thanh Xuân,,,,,,https://nhadat24h.net//Upload/User/DangTin/2024/Images/50628/5de7a229-ab89-425e-bf2b-6d339fc80c11.jpg,"[20.9899852, 105.8197278]"
Khang thành invest - chuyên cho thuê mini house cao cấp cần thơ,7,35,Cho Thuê,"Phường Tân An, Quận Ninh Kiều, Cần Thơ","KHANG THÀNH Invest - CHUYÊN CHO THUÊ MINI HOUSE CAO CẤP CẦN THƠ CĂN HỘ DỊCH VỤ TRUNG TÂM NINH KIỀU, MẶT TIỀN ĐƯỜNG NỘI Ô CẦN THƠ - Diện Tích 30m2 - Giá 7 triệu/tháng - Full nội thất cao cấp - Free nước sinh hoạt, nước uống, wifi - Điện 3k/kwh 🍀 Ưu tiên hợp đồng lâu dài 6 - 12 tháng ________________________ ☎️Tel/zalo: 0968 20 3339 Whatsup: 0939 848 369 Công ty TNHH KHANG THÀNH Invest 0968203339 Chat Quan tâm Lưu tin",,Căn hộ chung cư,Cần Thơ,Ninh Kiều,1.0,1.0,3,,10,https://nhadat24h.net//Upload/User/DangTin/2024/Images/421897/e449e19c-c4cb-46cd-b153-6b5461e3ed1d.png,"[10.0318417, 105.785674]"
"Cho thuê mặt bằng mặt tiền phạm ngũ lão, gần chợ an hòa, ngang 12m",45,450,Cho Thuê,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ","CHO THUÊ MẶT BẰNG 500M2, MẶT TIỀN 12m Giá: 45 triệu 📍 Mặt tiền Phạm Ngũ Lão, gần chợ - DT: 12x40m, hơn 500m2 - Mặt bằng trống. - Nếu cần showroom mới chủ xây dựng - Giá: 65 triệu ________________________ ☎️Tel/zalo: 0968 20 3339 Whatsup: 0939 848 369 Công ty TNHH KHANG THÀNH Invest 0968203339 Chat Quan tâm Lưu tin",,"Nhà xưởng, mặt bằng, kho bãi",Cần Thơ,Ninh Kiều,1.0,2.0,1,,12,https://nhadat24h.net//Upload/User/DangTin/2024/Images/421897/5f7f7b72-2934-4986-a789-90b2d62a4d8a.jpg,"[10.0459669, 105.7697904]"
"Cho thuê các tòa nhà trung tâm ninh kiều, cần thơ - diện tích quy mô đa dạng",150,1500,Cho Thuê,"Phường An Phú, Quận Ninh Kiều, Cần Thơ","CHO THUÊ TOÀ NHÀ TRUNG TÂM NINH KIỀU - CẦN THƠ - Toà 1: Ngang 8m, DTSD: 800m2 - Toà 2: Ngang 25m, DTSD: 3.000m2 - Toà 3: Ngang 10m, DTSD: 900 - 1.500m2 - Toà 4: góc 2 mặt tiền, Ngang 8m, DTSD: 500m2 👉Sản phẩm chủ đang kinh doanh, khách hàng cung cấp thông tin, em sẽ gửi thông tin! 👉Giá: vài trăm triệu/tháng ________________________ ☎️Tel/zalo: 0968 20 3339 Whatsup: 0939 848 369 Công ty TNHH KHANG THÀNH Invest 0968203339 Chat Quan tâm Lưu tin",,Nhà mặt phố,Cần Thơ,Ninh Kiều,1.0,1.0,9,Tây bắc,10,https://nhadat24h.net//Upload/User/DangTin/2024/Images/421897/64e41123-0e3a-4a27-9d4c-639fbb29662a.jpg,"[10.0322235, 105.778189]"
"Cho thuê mặt bằng mặt tiền đường mậu thân, trống suốt, gần đh cần thơ",100,500,Cho Thuê,"Phường An Nghiệp, Quận Ninh Kiều, Cần Thơ","CHO THUÊ MẶT BẰNG KINH DOANH Gi.á: 100 triệu/tháng MẶT TIỀN NGANG 8M ĐƯỜNG MẬU THÂN, NINH KIỀU, CẦN THƠ - GẦN NGÃ 4 TRẦN HƯNG ĐẠO - Diện tích: 8m x 50m = 400m2 - Hướng: Tây nam - Kết cấu: nhà trệt gồm phòng khách trống suốt, phòng ngủ, bếp, tolet,... - Lộ giới: 30m - Ưu điển: nhà vị trí sáng đẹp thuận tiện kinh doanh đa dạng ngành nghề như Văn Phòng Công Ty, Shop Thời Trang, Cửa Hàng, Showroom, Ngân Hàng, Nha Khoa,…. - Thanh toán: cọc 3 tháng, đóng tiền đầu tháng Nhấn vào hastag để xem thêm #mặt_bằng_Cần_Thơ_0968203339 ________________________ ☎️Tel/zalo: 0968 20 3339 Whatsup: 0939 848 369 Công ty TNHH KHANG THÀNH Invest 0968203339 Chat Quan tâm Lưu tin",,Nhà mặt phố,Cần Thơ,Ninh Kiều,1.0,2.0,1,Tây Nam,8,https://nhadat24h.net//Upload/User/DangTin/2024/Images/421897/7e12205d-1abb-401b-939c-845328cb2869.jpg,"[10.0377594, 105.7742622]"
Cho thuê mặt bằng bờ kè đường tầm vu ngang 30m gần 1000m2,26,1000,Cho Thuê,"Phường Hưng Lợi, Quận Ninh Kiều, Cần Thơ","CHO THUÊ MẶT BẰNG TẦM VU, NGANG 30M, VỊ TRÍ ĐẸP, 2 MẶT TIỀN - DT: gần 1.000m2, trên đất có nhà, thích hợp làm sân cầu lông, tennis, kho chứa hàng, quán cafe,... - Giá Thương Lượng ________________________ ☎️Tel/zalo: 0968 20 3339 Whatsup: 0939 848 369 Công ty TNHH KHANG THÀNH Invest 0968203339 Chat Quan tâm Lưu tin",Có Sổ đỏ,"Nhà xưởng, mặt bằng, kho bãi",Cần Thơ,Ninh Kiều,1.0,2.0,1,,30,https://nhadat24h.net//Upload/User/DangTin/2024/Images/421897/bba0f0d8-887c-4316-b51b-1855c8eef23f.jpg,"[10.0161234, 105.7639625]"
